Age,Education,Occupation,Relationship,Sex,Country
39, Bachelors, Adm-clerical, Not-in-family, Male, United-States
50, Bachelors, Exec-managerial, Husband, Male, United-States
38, HS-grad, Handlers-cleaners, Not-in-family, Male, United-States
53, 11th, Handlers-cleaners, Husband, Male, United-States
28, Bachelors, Prof-specialty, Wife, Female, Cuba
37, Masters, Exec-managerial, Wife, Female, United-States
49, 9th, Other-service, Not-in-family, Female, Jamaica
52, HS-grad, Exec-managerial, Husband, Male, United-States
31, Masters, Prof-specialty, Not-in-family, Female, United-States
42, Bachelors, Exec-managerial, Husband, Male, United-States
37, Some-college, Exec-managerial, Husband, Male, United-States
30, Bachelors, Prof-specialty, Husband, Male, India
23, Bachelors, Adm-clerical, Own-child, Female, United-States
32, Assoc-acdm, Sales, Not-in-family, Male, United-States
40, Assoc-voc, Craft-repair, Husband, Male, United-States
34, 7th-8th, Transport-moving, Husband, Male, Mexico
25, HS-grad, Farming-fishing, Own-child, Male, United-States
32, HS-grad, Machine-op-inspct, Unmarried, Male, United-States
38, 11th, Sales, Husband, Male, United-States
43, Masters, Exec-managerial, Unmarried, Female, United-States
40, Doctorate, Prof-specialty, Husband, Male, United-States
54, HS-grad, Other-service, Unmarried, Female, United-States
35, 9th, Farming-fishing, Husband, Male, United-States
43, 11th, Transport-moving, Husband, Male, United-States
59, HS-grad, Tech-support, Unmarried, Female, United-States
56, Bachelors, Tech-support, Husband, Male, United-States
19, HS-grad, Craft-repair, Own-child, Male, United-States
54, Some-college,, Husband, Male, South
39, HS-grad, Exec-managerial, Not-in-family, Male, United-States
49, HS-grad, Craft-repair, Husband, Male, United-States
23, Assoc-acdm, Protective-serv, Not-in-family, Male, United-States
20, Some-college, Sales, Own-child, Male, United-States
45, Bachelors, Exec-managerial, Own-child, Male, United-States
30, Some-college, Adm-clerical, Own-child, Male, United-States
22, Some-college, Other-service, Husband, Male, United-States
48, 11th, Machine-op-inspct, Unmarried, Male, Puerto-Rico
21, Some-college, Machine-op-inspct, Own-child, Male, United-States
19, HS-grad, Adm-clerical, Wife, Female, United-States
31, Some-college, Sales, Husband, Male,
48, Assoc-acdm, Prof-specialty, Husband, Male, United-States
31, 9th, Machine-op-inspct, Husband, Male, United-States
53, Bachelors, Prof-specialty, Husband, Male, United-States
24, Bachelors, Tech-support, Husband, Male, United-States
49, HS-grad, Adm-clerical, Unmarried, Female, United-States
25, HS-grad, Handlers-cleaners, Not-in-family, Male, United-States
57, Bachelors, Prof-specialty, Husband, Male, United-States
53, HS-grad, Machine-op-inspct, Husband, Male, United-States
44, Masters, Exec-managerial, Unmarried, Female, United-States
41, Assoc-voc, Craft-repair, Husband, Male, United-States
29, Assoc-voc, Prof-specialty, Not-in-family, Male, United-States
25, Some-college, Exec-managerial, Wife, Female, United-States
18, HS-grad, Other-service, Own-child, Female,
47, Prof-school, Prof-specialty, Wife, Female, Honduras
50, Bachelors, Exec-managerial, Not-in-family, Male, United-States
47, HS-grad, Exec-managerial, Not-in-family, Male, United-States
43, Some-college, Tech-support, Husband, Male, United-States
46, 5th-6th, Machine-op-inspct, Husband, Male, Mexico
